taxon	min	max	subfamily
Stigmatomma_groehni	33.9	38.0	Amblyoponinae
Paraneuretus_dubovikoffi	70.6	83.5	Aneuretinae
Yantaromyrmex_mayrianum	70.6	83.5	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Rhytidoponera_waipiata	40.4	48.6	Ectatomminae
Titanomyrma_simillima	46.2	50.3	Formiciinae
Sicilomyrmex_corniger	46.2	50.3	Formicinae
Ypresiomyrma_rebekkae	47.8	56.0	Myrmeciinae
Zhangidris_atopogaster	89.8	93.9	Myrmicinae
Taphopone_petrosa	89.8	93.9	Ponerinae
Proceratium_poinari	33.9	38.0	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Zigrasimecia_tonsora	98.2	99.6	Sphecomyrminae
