taxon	min	max	subfamily
Casaleia_orientalis	15.97	20.44	Amblyoponinae
Cananeuretus_occidentalis	33.9	37.2	Aneuretinae
Alloiomma_differentialis	5.333	11.608	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Ectatomma_gracile	5.333	11.608	Ectatomminae
Formicium_brodiei	33.9	38.0	Formiciinae
Attopsis_longipes	2.588	3.6	Formicinae
Archimyrmex_rostratus	23.03	28.4	Myrmeciinae
Afromyrma_petrosa	0.0	0.0117	Myrmicinae
Afropone_orapa	5.333	11.608	Ponerinae
Discothyrea_gigas	13.82	20.44	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Cretomyrma_arnoldii	83.5	85.8	Sphecomyrminae
