taxon	min	max	subfamily
Casaleia_orientalis	33.9	38.0	Amblyoponinae
Mianeuretus_eocenicus	46.2	50.3	Aneuretinae
Dolichoderus_explicans	28.4	33.9	Dolichoderinae
Parasyscia_conservata	0.0	0.0117	Dorylinae
Gnamptogenys_levinates	13.82	20.44	Ectatomminae
Formicium_brodiei	33.9	38.0	Formiciinae
Oecophylla_sicula	5.333	11.608	Formicinae
Avitomyrmex_elongatus	47.8	56.0	Myrmeciinae
Hypopomyrmex_bombiccii	5.333	11.608	Myrmicinae
Taphopone_petrosa	33.9	38.0	Ponerinae
Discothyrea_maya	15.97	23.03	Proceratiinae
Pseudomyrmex_saxulum	41.3	47.8	Pseudomyrmecinae
Haidomyrmex_zigrasi	93.5	99.6	Sphecomyrminae
